courseCode,courseName
203,Dynamic Programming with Java – Learn to Solve Algorithmic Problems & Coding Challenges
17,API Security for PCI Compliance (Data Security Standard)
253,"Full Stack Web Development for Beginners (Full Course on HTML, CSS, JavaScript, Node.js, MongoDB)"
169,Data Visualization with D3 – Full Course for Beginners
239,From Stay-at-Home Mom to Developer at Age 36 [freeCodeCamp Podcast #115]
409,Learn How to Code - Programming for Beginners Tutorial with Python and C#
115,C++ Programming Course - Beginner to Advanced
183,DevOps Engineering Course for Beginners
231,Flutter Tutorial - Building a Production App From Scratch
147,Computer Science Terminology
137,Code a Dictionary with React and Material UI - Tutorial
393,Learn Accessibility - Full a11y Tutorial
646,Todo List Tutorial - Angular 4 and Redux
680,WebSockets Beginners Tutorial with Socket.IO
267,Getting Started with Node.js - Full Tutorial
189,Developer and inventor with 27 software patents [Angie Jones Interview #136]
500,OpenTelemetry Course - Understand Software Performance
132,Chrome DevTools - Crash Course
259,Fundamentals of Finance & Economics for Businesses – Crash Course
611,Stable Diffusion Crash Course for Beginners
296,Harvard CS50’s Web Programming with Python and JavaScript – Full University Course
236,From Microsoft to Amazon to CTO with Cassidoo [freeCodeCamp Podcast #114 Cassidy Williams]
3,20 Award-Winning JavaScript Games – Js13kGames 2020 Winners
156,Create a WordPress Blog with the Help of AI – Beginner's Tutorial
628,TensorFlow 2.0 Complete Course - Python Neural Networks for Beginners Tutorial
549,R Shiny for Data Science Tutorial – Build Interactive Data-Driven Web Apps
457,Machine Learning for Everybody – Full Course
251,"Full Stack Tutorial – Hotel Management Site w/ Next.js, React, Sanity.io, Tailwind, Stripe"
198,Docker and Kubernetes - Full Course for Beginners
532,Python API Development - Comprehensive Course for Beginners
41,"All about GRAND Stack: GraphQL, React, Apollo, and Neo4j"
643,Theory of Neural Networks - Deep Learning Without Frameworks
401,Learn Go Programming - Golang Tutorial for Beginners
331,How to make a 3d fight game in Unity - full tutorial
681,Webhooks for Beginners - Full Course
89,Build Better and Discoverable APIs with GraphQL
523,Progressive Web Apps: Your web app on steroids
312,How to Build an MVP for Your App – Full Course on Minimum Viable Product Development
342,"Intermediate React Tutorial - Todoist Clone (with Firebase, Custom Hooks, SCSS, React Testing)"
542,Python Project Tutorial - Your First Python Project
324,How to Secure API Servers Tutorial – Crash Course on Server Security
587,SSO for Web APIs
185,DevOps Prerequisites Course - Getting started with DevOps
685,"What’s New in React 19: Exploring Actions, use(), Compiler, and more"
363,Is College Worth It?
75,"Becoming a Better Programmer, Without Actually Programming"
426,Learn Tailwind CSS: Build a Responsive Product Card
492,Object Oriented Programming with Python - Full Course for Beginners
686,Which programming language should you learn first?
503,Overcoming obstacles when learning to code
672,Web Programming with Flask - Intro to Computer Science - Harvard's CS50 (2018)
375,JavaScript DOM Manipulation – Full Course for Beginners
521,Print Styles: CSS Tutorial (Day 6 of CSS3 in 30 Days)
265,Generative AI for Developers – Comprehensive Course
518,Precalculus Course
299,Hot Dog or Not Hot Dog – Convolutional Neural Network Course for Beginners
513,Portal Clone Tutorial in Unity - CS50's Intro to Game Development
262,Gatsby - Full Tutorial for Beginners
626,Taxes for Freelance Developers – Full Course
473,Microsoft Power Platform Fundamentals (PL-900) — Full Course Pass the Exam!
477,MongoDB Provider for EF Core – C# Tutorial
651,Understanding AI from Scratch – Neural Networks Course
205,DynamoDB Tutorial: Basic Operations
609,Spring Boot Tutorial for Beginners (Java Framework)
256,Fullstack Drag & Drop Notes App with React
543,Python Tkinter GUI Design Using ttkbootstrap - Complete Course
368,Java Programming for Beginners – Full Course
571,Regular Expressions (Regex) in JavaScript - tutorial
382,JavaScript Testing with Jest – Crash Course
387,Kotlin & Android Development Course: Build a Quiz Application
403,Learn Google Sheets – Full Course for Beginners
271,GitHub Advanced Security Certification – Pass the Exam!
142,College Algebra – Full Course with Python Code
484,Natural Language Processing with spaCy & Python - Course for Beginners
29,AWS Solutions Architect Professional (SAP-C02) Certification Course – Pass the Exam!
687,Why are senior developers learning low-code and AI tools? [Adrian Twarog Interview #129]
673,Web Scraping with Node.js
318,How to Learn from Free University Courses (Audit Classes Online)
139,Code a Discord Chat Bot That Talks Like Your Favorite Character - Tutorial
519,Prepare for the AWS SysOps Administrator Associate (SOA-C02) – Full Course to PASS the Exam
682,What I Gained After 100 Days of Code
210,Ecommerce Website Tutorial – Create a B2B App with Stripe + Postgres + REST API Backend
478,MongoDB Tutorial - CRUD app from scratch using Node.js
630,Testing Node.js with Mocha
546,Python for Bioinformatics - Drug Discovery Using Machine Learning and Data Analysis
88,"Build API Powered Dashboards - MongoDB, Discord and Mail API"
59,"Asynchronous JavaScript Course (Async/Await, Promises, Callbacks)"
152,Create a Design System with CSS - Web Development Course
279,Godot Game Development – Crash Course for Beginners
270,Git and GitHub for Beginners - Crash Course
671,Web Development with HTML & CSS – Full Course for Beginners
218,"FARM Stack Course – Full Stack Development with FastAPI, React MongoDB"
570,Redux Tutorial - Beginner to Advanced
42,Amazon Alexa Development 101 (full tutorial course - June 2018 version)
621,Symfony PHP Framework Tutorial - Full Course
649,"UI / UX Design Tutorial – Wireframe, Mockup & Design in Figma"
268,Getting Your First Developer Job
567,ReasonML Programming - Full Course for Beginners
153,Create a Large Language Model from Scratch with Python – Tutorial
328,How to get a Developer Job – even in this economy – with James Q Quick [Podcast #153]
653,Unity / C# Tutorial | Helicopter Game 3D - CS50's Intro to Game Development
415,Learn Modern C++ by Building an Audio Plugin (w/ JUCE Framework) - Full Course
690,Writing Secure JavaScript
529,Pytest Tutorial – How to Test Python Code
247,"Full Stack Next.js, Typescript, Firebase Tutorial – Google Drive Clone"
235,From Failing Programming Class to Senior Software Engineer with Tadas Petra [Podcast #146]
352,Intro to Node.js and npm
51,Animated Progress Bars: CSS Tutorial (Day 19 of CSS3 in 30 Days)
357,Introduction to JavaScript
404,Learn GraphQL with Laravel and Vue.js - Full Tutorial
399,Learn Django by Building an Online Marketplace – Python Tutorial for Beginners
596,Setting up Severless Framework from Scratch
678,WebAssembly and the Death of JavaScript
294,Harvard CS50 (2023) – Full Computer Science University Course
424,Learn Ruby on Rails - Full Course
377,JavaScript Game Development Course for Beginners
80,Blazor Course - Use ASP.NET Core to Build Full-Stack C# Web Apps
358,Introduction to Linux – Full Course for Beginners
378,"JavaScript Interview Prep: Functions, Closures, Currying"
252,Full Stack Web App using Vue.js & Express.js
248,Full Stack React & Firebase Tutorial - Build a social media app
320,"How to Make a Landing Page using HTML, SCSS, and JavaScript - Full Course"
349,Intro to Data Science - Crash Course for Beginners
272,GitHub Basics Tutorial - How to Use GitHub
434,Learn to Code using AI - ChatGPT Programming Tutorial (Full Course)
5,2018 Top Contributor Party in New York City - Highlights and Interviews
145,Computer & Technology Basics Course for Absolute Beginners
230,Flutter Mobile App + Node.js Back End Tutorial – Code an Amazon Clone [Full Course]
516,Practical Deep Learning for Coders - Full Course from fast.ai and Jeremy Howard
419,Learn RAG From Scratch – Python AI Tutorial from a LangChain Engineer
605,Special Ed Teacher turned Sysadmin and AWS Hero Hiroko Nishimura [Podcast #140]
642,The quantum computers are coming - talk
111,Build and Deploy an Instagram Clone with React and Firebase – Tutorial
181,Deno Course - Better than Node.js?
77,"Beginner Web Dev Project Tutorial – Weather App with Next.js, Tailwind CSS, and TypeScript"
370,JavaScript + HTML5 GameDev Tutorial: 8-Ball Pool Game (part 1)
455,MLOps Course – Build Machine Learning Production Grade Projects
20,APIs in React Tutorial - Recipe App using React Router
311,How to Build an E-commerce Website with Django and Python
579,SAP UI5 / Fiori - Full Course
113,Build your first Rails app - blog with comments (tutorial)
470,Microsoft Azure Fundamentals Certification Course (AZ-900) - Pass the exam in 3 hours!
448,Localize Your Websites with Crowdin – Full Course
617,Strapi & GatsbyJS Course - Portfolio Project
603,"Solidity, Blockchain, and Smart Contract Course – Beginner to Expert Python Tutorial"
118,CSS Crash Course Tutorial
413,Learn JavaScript to Make Games + Kaplay Library Course
148,Computer Vision and Perception for Self-Driving Cars (Deep Learning Course)
504,"PERN Stack Course - Build a Yelp clone (Postgres, Express, React, Node.js)"
57,Arrays and Sorting Algorithms - Intro to Computer Science - Harvard's CS50 (2018)
674,Web Scraping with Python - Beautiful Soup Crash Course
49,AngularJS tutorial: Game of Life
107,"Build an Instagram Clone with React Native, Firebase Firestore, Redux, Expo - Full Course"
317,How to Get a Developer Job – Even in This Economy [Full Course]
238,From Software Engineer to White Hat Hacker with Suz Hinton [Podcast #126]
117,"CRUD API Tutorial – Node, Express, MongoDB"
66,Azure Administrator Certification (AZ-104) - Full Course to PASS the Exam
133,Clipping Images: CSS Tutorial (Day 3 of CSS3 in 30 Days)
481,Music Production with FL Studio – Full Tutorial for Beginners
397,Learn C# Programming – Full Course with Mini-Projects
58,Astro Web Framework Crash Course
467,Microservices with FastAPI – Full Course
97,Build a Live Stream Flutter App – Android & iOS Course
495,"Open Source is Changing. Quincy interviews Jerod Santo, host of The Changelog [Podcast #125]"
298,He's helped THOUSANDS of people learn to code [Leon Noel of #100devs on freeCodeCamp Podcast #117]
277,Go and React Full Stack App – Go Tutorial for Node Developers
364,JAMstack Tutorial - Full site using Netlify & Hugo
430,Learn TypeScript – Full Tutorial
104,Build a Tree Browser with Vue.js
422,Learn React Router v6 – Full Course
341,Intermediate Python Programming Course
438,Let's Play Break The Code 2 – Code Cracking Game for Developers with Tom and Shaun
92,Build a Chrome Extension – Course for Beginners
163,Data Science Hands-On Crash Course
240,From Stealing Cars to Self-Taught Software Engineer with Dorian Develops [Podcast #147]
165,Data Science and Sports Analytics Expert Ken Jee [Podcast #135]
276,Go and AWS - Code and Deploy a Serverless API
488,NoSQL Database Tutorial – Full Course for Beginners
11,A Brief History of Frontend Frameworks
48,Angular 11 Tutorial - Code a Project from Scratch
151,Create An Elementor WordPress Website – Elementor Tutorial For Beginners
101,"Build a Simple Website with HTML, CSS, JavaScript – Course for Beginners"
289,HTML & CSS Project Tutorial - Build a Recipes Website
619,Surviving 40 years in the software industry [Interview with Jack Herrington Podcast #140]
362,Ionic Notes App Tutorial (Mobile App Development)
70,Back End Developer Roadmap 2024
700,Rust Programming Beginner Course
701,Neetcode 150 Explanations
11,DeepSeek Reinforcement Learning Course
12,Django Backend Full Course
